,Original_Momentum,Adaptive_Momentum,Benchmark
2020-10-05,1.1710359314465604,1.1710359314465604,1.0109375448531224
2021-01-04,1.5149956191823193,1.4462036816351678,1.0191874753042174
2021-04-07,2.0876110304468227,1.8834952515625936,1.0285960402388332
2021-07-08,2.2621541203150692,2.009476989028137,1.018766513437765
2021-10-08,2.4802067217006694,2.203173643445768,1.0247707389489935
2022-01-10,2.6520846027747056,2.3253172741876327,1.03573611267755
2022-04-12,2.7093792559575065,2.3655055084921246,1.0272598444570902
2022-07-13,2.8100126101608978,2.4357943034425484,1.0213969720497047
2022-10-14,2.9973403477354483,2.5981750110631965,1.0316833465627269
2023-01-13,3.0816830586022927,2.6566634303460117,1.0373680207596914
2023-04-20,2.9274559767892923,2.55029832000078,1.0377035830030152
2023-07-20,3.401615428160342,2.880755361700264,1.0453425470674462
2023-10-20,3.7701994198213087,3.130472081920682,1.040972078505353
2024-01-24,4.939446215516204,3.9071513061663996,1.0515170955464879
2024-04-30,6.002891876748028,4.243629763307343,1.0497268694836288
2024-08-01,6.934384941592778,4.770430748625904,1.0522406285476282
2024-10-31,7.054444810641978,4.853024561316197,1.0463830431528567
2025-01-31,7.186335773969394,4.943757439894824,1.0580352928191141
2025-05-08,7.2534723197474955,4.980706094465804,1.0519421942176652
2025-08-05,7.252444698669036,4.980423841864972,1.048827599490667
2025-11-07,7.726781166942191,5.306161817652252,1.0481122652453851
2026-02-06,8.497781786797153,5.729733181931446,1.050192665006732
2026-05-13,8.456074092651864,5.729733181931446,1.051677194680064
