,Stock1,Stock2,Stock3,Stock4,Stock5
2020-07-07,M&M.NS,HEROMOTOCO.NS,RELIANCE.NS,HINDALCO.NS,CIPLA.NS
2020-10-05,ADANIENT.NS,APOLLOHOSP.NS,JSWSTEEL.NS,TECHM.NS,HCLTECH.NS
2021-01-04,TATASTEEL.NS,SHRIRAMFIN.NS,ADANIENT.NS,BAJFINANCE.NS,KOTAKBANK.NS
2021-04-07,ADANIENT.NS,ADANIPORTS.NS,GRASIM.NS,HINDALCO.NS,JSWSTEEL.NS
2021-07-08,TATASTEEL.NS,BEL.NS,JSWSTEEL.NS,TRENT.NS,SBIN.NS
2021-10-08,TECHM.NS,TITAN.NS,ONGC.NS,HCLTECH.NS,BHARTIARTL.NS
2022-01-10,TECHM.NS,APOLLOHOSP.NS,ICICIBANK.NS,POWERGRID.NS,ADANIENT.NS
2022-04-12,COALINDIA.NS,ADANIENT.NS,ITC.NS,NTPC.NS,BEL.NS
2022-07-13,M&M.NS,HEROMOTOCO.NS,EICHERMOT.NS,HINDUNILVR.NS,ITC.NS
2022-10-14,INDUSINDBK.NS,ADANIENT.NS,BEL.NS,COALINDIA.NS,GRASIM.NS
2023-01-13,HINDALCO.NS,ONGC.NS,TATASTEEL.NS,JSWSTEEL.NS,AXISBANK.NS
2023-04-20,ITC.NS,BAJAJ-AUTO.NS,DRREDDY.NS,ONGC.NS,TRENT.NS
2023-07-20,ETERNAL.NS,SHRIRAMFIN.NS,ADANIENT.NS,M&M.NS,INDUSINDBK.NS
2023-10-20,ETERNAL.NS,COALINDIA.NS,NTPC.NS,LT.NS,TRENT.NS
2024-01-24,TRENT.NS,ADANIPORTS.NS,BEL.NS,HEROMOTOCO.NS,BAJAJ-AUTO.NS
2024-04-30,JIOFIN.NS,ETERNAL.NS,SBIN.NS,TRENT.NS,M&M.NS
2024-08-01,M&M.NS,TRENT.NS,BEL.NS,INFY.NS,HDFCLIFE.NS
2024-10-31,HCLTECH.NS,ICICIBANK.NS,TECHM.NS,WIPRO.NS,SUNPHARMA.NS
2025-01-31,BAJFINANCE.NS,WIPRO.NS,KOTAKBANK.NS,MARUTI.NS,EICHERMOT.NS
2025-05-08,ADANIPORTS.NS,SHRIRAMFIN.NS,SBILIFE.NS,TATACONSUM.NS,AXISBANK.NS
2025-08-05,JIOFIN.NS,ETERNAL.NS,HEROMOTOCO.NS,TATASTEEL.NS,JSWSTEEL.NS
2025-11-07,SHRIRAMFIN.NS,EICHERMOT.NS,SBIN.NS,BAJFINANCE.NS,HINDALCO.NS
2026-02-06,SHRIRAMFIN.NS,HINDALCO.NS,TECHM.NS,INDUSINDBK.NS,COALINDIA.NS
