Stock1,Stock2,Correlation,Cointegration_P,ADF_P
AXISBANK.NS,INDUSINDBK.NS,0.5867231604720281,3.8276486220818454e-05,4.24552470924661e-06
INDUSINDBK.NS,SHRIRAMFIN.NS,0.476235353100846,0.0008581265221591621,0.0001319664175670728
INDUSINDBK.NS,LT.NS,0.48559455572711147,0.0019091120005006869,0.0003032148535300454
ICICIBANK.NS,INDUSINDBK.NS,0.55906850246119,0.0022156538468859127,0.0003112005567892859
M&M.NS,MARUTI.NS,0.5246201423841284,0.0024857295107280444,0.0004339613301191002
GRASIM.NS,INDUSINDBK.NS,0.4215220173525838,0.0030245561012443964,0.0005318367824225325
SBILIFE.NS,TITAN.NS,0.41383666717802814,0.005581943938020938,0.0010698458250511741
ADANIPORTS.NS,GRASIM.NS,0.43953837930574324,0.015838470028842186,0.0035020443820374214
HINDUNILVR.NS,TATACONSUM.NS,0.426793913175177,0.015941046999782722,0.003523103805220056
HDFCBANK.NS,INDUSINDBK.NS,0.47557657398111625,0.016030579566463136,0.0034764792943875536
